Provider Number,City,State,ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
100319,Wesley Chapel,FL,33544,PASCO,5 out of 10,Not Available,5 out of 10,2 out of 10,Not Available,2 out of 10,7 out of 10,Not Available,7 out of 10,3 out of 10,Not Available,3 out of 10,4 out of 10,Not Available,4 out of 10,10 out of 10,Not Available,10 out of 10,5 out of 10,Not Available,5 out of 10,9 out of 10,Not Available,9 out of 10,45,20
110001,Dalton,GA,30720,WHITFIELD,5 out of 10,2 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,1 out of 9,2 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,3 out of 9,3 out of 10,16,17
110002,Thomaston,GA,30286,UPSON,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,8 out of 10,2 out of 9,8 out of 10,9 out of 10,0 out of 9,9 out of 10,10 out of 10,9 out of 9,10 out of 10,9 out of 10,0 out of 9,9 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,0 out of 9,4 out of 10,60,19
110003,Waycross,GA,31501,WARE,5 out of 10,0 out of 9,5 out of 10,3 out of 10,0 out of 9,3 out of 10,4 out of 10,0 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,5 out of 10,0 out of 9,5 out of 10,3 out of 10,0 out of 9,3 out of 10,2 out of 10,4 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,28,20
110004,Fort Oglethorpe,GA,30742,CATOOSA,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,5 out of 10,3 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,3 out of 9,3 out of 10,5 out of 10,1 out of 9,5 out of 10,2 out of 10,1 out of 9,2 out of 10,19,18
110005,Cumming,GA,30041,FORSYTH,2 out of 10,1 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,3 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,2 out of 9,3 out of 10,4 out of 10,3 out of 9,4 out of 10,6 out of 10,3 out of 9,6 out of 10,23,19
110006,Athens,GA,30606,CLARKE,5 out of 10,0 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,6 out of 10,2 out of 9,6 out of 10,6 out of 10,3 out of 9,6 out of 10,4 out of 10,0 out of 9,4 out of 10,9 out of 10,9 out of 9,9 out of 10,7 out of 10,0 out of 9,7 out of 10,41,20
110007,Albany,GA,31703,DOUGHERTY,4 out of 10,0 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,0 out of 9,4 out of 10,1 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,21,18
110008,Canton,GA,30114,CHEROKEE,0 out of 10,1 out of 9,1 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,6 out of 10,6 out of 9,6 out of 10,0 out of 10,3 out of 9,3 out of 10,18,17
110010,Atlanta,GA,30322,DE KALB,5 out of 10,4 out of 9,5 out of 10,5 out of 10,4 out of 9,5 out of 10,6 out of 10,5 out of 9,6 out of 10,5 out of 10,0 out of 9,5 out of 10,8 out of 10,7 out of 9,8 out of 10,7 out of 10,5 out of 9,7 out of 10,5 out of 10,4 out of 9,5 out of 10,8 out of 10,7 out of 9,8 out of 10,49,20
110011,Carrollton,GA,30117,CARROLL,10 out of 10,9 out of 9,10 out of 10,8 out of 10,5 out of 9,8 out of 10,8 out of 10,5 out of 9,8 out of 10,8 out of 10,4 out of 9,8 out of 10,10 out of 10,9 out of 9,10 out of 10,7 out of 10,1 out of 9,7 out of 10,7 out of 10,6 out of 9,7 out of 10,9 out of 10,8 out of 9,9 out of 10,67,20
110015,Villa Rica,GA,30180,CARROLL,6 out of 10,0 out of 9,6 out of 10,3 out of 10,0 out of 9,3 out of 10,7 out of 10,0 out of 9,7 out of 10,2 out of 10,0 out of 9,2 out of 10,7 out of 10,0 out of 9,7 out of 10,7 out of 10,0 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,0 out of 9,6 out of 10,38,19
110016,Lagrange,GA,30240,TROUP,8 out of 10,5 out of 9,8 out of 10,4 out of 10,3 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,4 out of 10,1 out of 9,4 out of 10,7 out of 10,6 out of 9,7 out of 10,4 out of 10,2 out of 9,4 out of 10,2 out of 10,4 out of 9,4 out of 10,2 out of 10,1 out of 9,2 out of 10,37,20
110018,Covington,GA,30014,NEWTON,1 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,3 out of 9,3 out of 10,2 out of 10,2 out of 9,2 out of 10,15,17
110023,Calhoun,GA,30701,GORDON,8 out of 10,5 out of 9,8 out of 10,7 out of 10,1 out of 9,7 out of 10,5 out of 10,3 out of 9,5 out of 10,8 out of 10,7 out of 9,8 out of 10,10 out of 10,9 out of 9,10 out of 10,8 out of 10,6 out of 9,8 out of 10,7 out of 10,6 out of 9,7 out of 10,6 out of 10,0 out of 9,6 out of 10,59,20
110024,Savannah,GA,31412,CHATHAM,2 out of 10,4 out of 9,4 out of 10,4 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,5 out of 9,5 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,4 out of 9,4 out of 10,2 out of 10,2 out of 9,2 out of 10,21,15
110025,Brunswick,GA,31520,GLYNN,3 out of 10,5 out of 9,5 out of 10,4 out of 10,2 out of 9,4 out of 10,1 out of 10,2 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,4 out of 10,5 out of 9,5 out of 10,3 out of 10,3 out of 9,3 out of 10,4 out of 10,6 out of 9,6 out of 10,0 out of 10,3 out of 9,3 out of 10,29,19
110026,Elberton,GA,30635,ELBERT,4 out of 10,3 out of 9,4 out of 10,9 out of 10,8 out of 9,9 out of 10,3 out of 10,0 out of 9,3 out of 10,5 out of 10,0 out of 9,5 out of 10,5 out of 10,1 out of 9,5 out of 10,1 out of 10,1 out of 9,1 out of 10,10 out of 10,9 out of 9,10 out of 10,0 out of 10,0 out of 9,0 out of 10,37,15
110027,Lavonia,GA,30553,FRANKLIN,4 out of 10,2 out of 9,4 out of 10,7 out of 10,0 out of 9,7 out of 10,4 out of 10,2 out of 9,4 out of 10,2 out of 10,2 out of 9,2 out of 10,5 out of 10,5 out of 9,5 out of 10,6 out of 10,5 out of 9,6 out of 10,7 out of 10,7 out of 9,7 out of 10,3 out of 10,4 out of 9,4 out of 10,39,20
110028,Augusta,GA,30901,RICHMOND,5 out of 10,4 out of 9,5 out of 10,6 out of 10,5 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,3 out of 9,4 out of 10,3 out of 10,3 out of 9,3 out of 10,5 out of 10,2 out of 9,5 out of 10,3 out of 10,3 out of 9,3 out of 10,7 out of 10,4 out of 9,7 out of 10,33,18
110029,Gainesville,GA,30501,HALL,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,8 out of 10,6 out of 9,8 out of 10,5 out of 10,0 out of 9,5 out of 10,22,19
110030,Cartersville,GA,30120,BARTOW,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1,14
110031,Griffin,GA,30223,SPALDING,1 out of 10,2 out of 9,2 out of 10,3 out of 10,2 out of 9,3 out of 10,4 out of 10,3 out of 9,4 out of 10,3 out of 10,2 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,15,18
110032,Toccoa,GA,30577,STEPHENS,4 out of 10,3 out of 9,4 out of 10,6 out of 10,3 out of 9,6 out of 10,6 out of 10,6 out of 9,6 out of 10,8 out of 10,7 out of 9,8 out of 10,8 out of 10,8 out of 9,8 out of 10,5 out of 10,2 out of 9,5 out of 10,8 out of 10,7 out of 9,8 out of 10,3 out of 10,3 out of 9,3 out of 10,48,20
110034,Augusta,GA,30912,RICHMOND,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,4,14
110035,Marietta,GA,30060,COBB,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,4 out of 9,5 out of 10,0 out of 10,1 out of 9,1 out of 10,3 out of 10,3 out of 9,3 out of 10,14,19
110036,Savannah,GA,31403,CHATHAM,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,11,13
110038,Thomasville,GA,31792,THOMAS,3 out of 10,0 out of 9,3 out of 10,6 out of 10,1 out of 9,6 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,1 out of 9,4 out of 10,5 out of 10,0 out of 9,5 out of 10,7 out of 10,6 out of 9,7 out of 10,5 out of 10,2 out of 9,5 out of 10,33,20
110039,Augusta,GA,30904,RICHMOND,4 out of 10,3 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,1 out of 10,2 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,1 out of 10,1 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,2 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,21,20
110040,Commerce,GA,30529,JACKSON,2 out of 10,0 out of 9,2 out of 10,7 out of 10,3 out of 9,7 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,8 out of 10,8 out of 9,8 out of 10,5 out of 10,3 out of 9,5 out of 10,2 out of 10,1 out of 9,2 out of 10,3 out of 10,4 out of 9,4 out of 10,29,18
110041,Demorest,GA,30535,HABERSHAM,3 out of 10,5 out of 9,5 out of 10,3 out of 10,2 out of 9,3 out of 10,2 out of 10,3 out of 9,3 out of 10,3 out of 10,5 out of 9,5 out of 10,4 out of 10,6 out of 9,6 out of 10,3 out of 10,2 out of 9,3 out of 10,8 out of 10,7 out of 9,8 out of 10,1 out of 10,3 out of 9,3 out of 10,36,20
110042,Hiram,GA,30141,PAULDING,4 out of 10,0 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,3 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,12,18
110043,Savannah,GA,31419,CHATHAM,1 out of 10,3 out of 9,3 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,1 out of 10,5 out of 9,5 out of 10,2 out of 10,4 out of 9,4 out of 10,1 out of 10,3 out of 9,3 out of 10,3 out of 10,4 out of 9,4 out of 10,4 out of 10,3 out of 9,4 out of 10,27,19
110044,Americus,GA,31719,SUMTER,4 out of 10,4 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,1 out of 9,2 out of 10,9 out of 10,8 out of 9,9 out of 10,0 out of 10,3 out of 9,3 out of 10,2 out of 10,3 out of 9,3 out of 10,25,18
110045,Winder,GA,30680,BARROW,0 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,13,7
110046,Monroe,GA,30655,WALTON,0 out of 10,2 out of 9,2 out of 10,3 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,4 out of 9,4 out of 10,6 out of 10,7 out of 9,7 out of 10,2 out of 10,6 out of 9,6 out of 10,0 out of 10,5 out of 9,5 out of 10,28,14
110051,Blairsville,GA,30512,UNION,6 out of 10,3 out of 9,6 out of 10,6 out of 10,2 out of 9,6 out of 10,5 out of 10,0 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,2 out of 9,3 out of 10,6 out of 10,2 out of 9,6 out of 10,9 out of 10,8 out of 9,9 out of 10,5 out of 10,0 out of 9,5 out of 10,42,20
110054,Rome,GA,30162,FLOYD,4 out of 10,1 out of 9,4 out of 10,3 out of 10,1 out of 9,3 out of 10,3 out of 10,2 out of 9,3 out of 10,2 out of 10,3 out of 9,3 out of 10,4 out of 10,3 out of 9,4 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,4 out of 9,5 out of 10,24,19
110064,Columbus,GA,31901,MUSCOGEE,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,6,14
110069,Warner Robins,GA,31093,HOUSTON,2 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,2 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,11,18
110071,Baxley,GA,31513,APPLING,0 out of 10,0 out of 9,0 out of 10,7 out of 10,0 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,11,11
110073,Fitzgerald,GA,31750,BEN HILL,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,0 out of 9,4 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,8,13
110074,Athens,GA,30612,CLARKE,6 out of 10,5 out of 9,6 out of 10,3 out of 10,1 out of 9,3 out of 10,3 out of 10,1 out of 9,3 out of 10,4 out of 10,0 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,4 out of 10,3 out of 9,4 out of 10,3 out of 10,3 out of 9,3 out of 10,5 out of 10,0 out of 9,5 out of 10,32,20
110075,Statesboro,GA,30458,BULLOCH,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,4,12
110076,Decatur,GA,30033,DE KALB,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2,13
110078,Atlanta,GA,30308,FULTON,2 out of 10,0 out of 9,2 out of 10,5 out of 10,2 out of 9,5 out of 10,0 out of 10,1 out of 9,1 out of 10,5 out of 10,0 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,2 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,0 out of 9,4 out of 10,20,18
110079,Atlanta,GA,30303,FULTON,0 out of 10,3 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,16,14
110082,Atlanta,GA,30342,FULTON,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,4 out of 9,4 out of 10,6 out of 10,6 out of 9,6 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,4 out of 10,0 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,22,17
110083,Atlanta,GA,30309,FULTON,1 out of 10,0 out of 9,1 out of 10,4 out of 10,0 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,9,18
110086,Sandersville,GA,31082,WASHINGTON,4 out of 10,0 out of 9,4 out of 10,5 out of 10,2 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,5 out of 10,0 out of 9,5 out of 10,6 out of 10,0 out of 9,6 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,25,16
110087,Lawrenceville,GA,30045,GWINNETT,1 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,2 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,3 out of 10,4 out of 9,4 out of 10,5 out of 10,0 out of 9,5 out of 10,17,19
110089,Douglas,GA,31533,COFFEE,9 out of 10,9 out of 9,9 out of 10,7 out of 10,5 out of 9,7 out of 10,8 out of 10,4 out of 9,8 out of 10,4 out of 10,0 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,7 out of 10,0 out of 9,7 out of 10,7 out of 10,7 out of 9,7 out of 10,5 out of 10,4 out of 9,5 out of 10,50,20
110091,Conyers,GA,30012,ROCKDALE,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,3,15
110092,Eastman,GA,31023,DODGE,7 out of 10,5 out of 9,7 out of 10,7 out of 10,4 out of 9,7 out of 10,4 out of 10,0 out of 9,4 out of 10,6 out of 10,6 out of 9,6 out of 10,6 out of 10,6 out of 9,6 out of 10,6 out of 10,3 out of 9,6 out of 10,3 out of 10,6 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,42,18
110095,Tifton,GA,31793,TIFT,7 out of 10,5 out of 9,7 out of 10,5 out of 10,3 out of 9,5 out of 10,5 out of 10,4 out of 9,5 out of 10,6 out of 10,6 out of 9,6 out of 10,3 out of 10,2 out of 9,3 out of 10,6 out of 10,6 out of 9,6 out of 10,3 out of 10,4 out of 9,4 out of 10,5 out of 10,3 out of 9,5 out of 10,41,20
110100,Louisville,GA,30434,JEFFERSON,5 out of 10,0 out of 9,5 out of 10,10 out of 10,0 out of 9,10 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,10 out of 10,9 out of 9,10 out of 10,0 out of 10,3 out of 9,3 out of 10,4 out of 10,0 out of 9,4 out of 10,37,17
110101,Adel,GA,31620,COOK,2 out of 10,0 out of 9,2 out of 10,7 out of 10,0 out of 9,7 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,10 out of 10,9 out of 9,10 out of 10,2 out of 10,0 out of 9,2 out of 10,7 out of 10,6 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,29,15
110104,Cordele,GA,31015,CRISP,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,4 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,9,14
110105,Moultrie,GA,31768,COLQUITT,3 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,4 out of 9,4 out of 10,3 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,3 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,2 out of 10,5 out of 9,5 out of 10,22,17
110107,Macon,GA,31201,BIBB,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2,16
110109,Swainsboro,GA,30401,EMANUEL,6 out of 10,0 out of 9,6 out of 10,9 out of 10,0 out of 9,9 out of 10,6 out of 10,0 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,0 out of 9,5 out of 10,7 out of 10,0 out of 9,7 out of 10,10 out of 10,9 out of 9,10 out of 10,3 out of 10,2 out of 9,3 out of 10,46,18
110111,Thomson,GA,30824,MCDUFFIE,5 out of 10,5 out of 9,5 out of 10,6 out of 10,0 out of 9,6 out of 10,8 out of 10,8 out of 9,8 out of 10,1 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,2 out of 9,2 out of 10,8 out of 10,9 out of 9,9 out of 10,0 out of 10,1 out of 9,1 out of 10,34,15
110115,Atlanta,GA,30312,FULTON,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,6,16
110121,Cairo,GA,39828,GRADY,7 out of 10,3 out of 9,7 out of 10,10 out of 10,0 out of 9,10 out of 10,5 out of 10,4 out of 9,5 out of 10,10 out of 10,9 out of 9,10 out of 10,2 out of 10,0 out of 9,2 out of 10,6 out of 10,1 out of 9,6 out of 10,8 out of 10,8 out of 9,8 out of 10,6 out of 10,2 out of 9,6 out of 10,54,20
110122,Valdosta,GA,31603,LOWNDES,3 out of 10,3 out of 9,3 out of 10,3 out of 10,2 out of 9,3 out of 10,2 out of 10,3 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,3 out of 10,3 out of 9,3 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,4 out of 9,4 out of 10,3 out of 10,2 out of 9,3 out of 10,24,19
110124,Jesup,GA,31545,WAYNE,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,4 out of 9,6 out of 10,2 out of 10,3 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,12,18
110125,Dublin,GA,31021,LAURENS,3 out of 10,1 out of 9,3 out of 10,3 out of 10,1 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,5 out of 10,3 out of 9,5 out of 10,4 out of 10,2 out of 9,4 out of 10,5 out of 10,0 out of 9,5 out of 10,4 out of 10,4 out of 9,4 out of 10,1 out of 10,1 out of 9,1 out of 10,27,20
110128,Vidalia,GA,30474,TOOMBS,4 out of 10,0 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,0 out of 9,4 out of 10,7 out of 10,0 out of 9,7 out of 10,1 out of 10,0 out of 9,1 out of 10,4 out of 10,0 out of 9,4 out of 10,28,19
110129,Columbus,GA,31995,MUSCOGEE,4 out of 10,4 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,1 out of 10,1 out of 9,1 out of 10,3 out of 10,3 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,1 out of 9,2 out of 10,2 out of 10,5 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,22,20
110130,Ocilla,GA,31774,IRWIN,5 out of 10,0 out of 9,5 out of 10,7 out of 10,0 out of 9,7 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,0 out of 9,4 out of 10,22,19
